,video,obsNum,regular,critical,score,StartSeconds,EndSeconds,htns,abstractLabels,abstractLabels_v,abstractLabels_nm,causeLabels,questionLabel,effectLabels,qWord,qPhrase,auxVerb,actionVerb
160,638,14,4,5,290,623,621,askInformation,prioritizeClearLocation,prioritize,clearLocation,noAnnotatedCause,clarifyClearRoom,answerClearLocation,have,haveWe,do,clear
161,638,15,4,5,290,617,615,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,carryStabilized,clarifyStabilizedStatus,confirmStabilizedStatus,is,isOne,nil,is
162,638,16,5,6,350,570,568,askInformation,prioritizeClearLocation,prioritize,clearLocation,prioritizeClearLocation,clarifyClearRoom,answerMarkRoomer,did,didYou,did,check
163,638,17,6,6,360,560,557,initiateCommitment,collaborateCriticalWake,collaborate,criticalWake,noticeLocationTeammate,requestDestination,navigateDestinationTeammate,want,wantTo,want,come
164,638,18,7,6,370,526,524,askInformation,prioritizeClearLocation,prioritize,clearLocation,prioritizeClearLocation,askLocationMarker,confirmClearRoom,did,didIt,did,look
165,638,19,7,6,370,521,517,initiateCommitment,coordinatePlanTeam,coordinate,teamPlan,prioritizeClearLocation,askLocationPlan,answerLocationPriority,do,doWe,do,want
166,638,20,7,7,420,498,497,initiateCommitment,askSelf,ask,self,noticeCriticalRoom,askCriticalWake,answerCriticalWake,do,doYou,do,want
167,638,21,7,7,420,485,483,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noticeRoomStabilized,confirmStabilizedStatus,carryStabilized,inflection,thatIs,nil,is
168,638,22,10,8,500,459,455,clarifySomething,askPlanTeam,ask,teamPlan,prioritizeClearLocation,askLocationPlan,answerClearLocation,right,sinceWe,are,go
169,638,23,10,8,500,452,450,askInformation,collaborateClearLocation,collaborate,clearLocation,clearLocation,clarifyInformationLocation,answerInformationRoom,what,whatWas,nil,was
170,638,24,10,8,500,419,417,askInformation,askInformationLocation,ask,informationLocation,noticeRoom,askInformationRoom,answerRoom,are,areAll,nil,are
171,638,25,10,8,500,411,409,clearLocation,clearRoom,clear,room,noticeClearRoom,requestRoomSearch,navigateDestinationTeammate,do,doYou,do,want
172,638,26,10,9,550,374,371,clarifySomething,askInformationLocation,ask,informationLocation,noticeRoom,askInformationRoom,answerRoom,what,whatIs,nil,is
173,638,27,10,10,600,340,329,clarifySomething,collaborateClearLocation,collaborate,clearLocation,suggestDestinationTeammate,clarifyDestination,confirmDestination,inflection,inflection,nil,nil
174,638,28,11,10,610,307,305,askInformation,collaborateCriticalWake,collaborate,criticalWake,announceCriticalRoom,askLocationTeammate,answerLocationTeammate,where,whereDid,did,go
175,638,29,11,10,610,282,280,clarifySomething,collaborateClearRoom,collaborate,clearRoom,announceCriticalWake,askRoomTeammate,confirmClearRoom,which,whichRoom,nil,are
176,638,30,11,10,610,276,275,clarifySomething,collaborateClearRoom,collaborate,clearRoom,announceCriticalWake,clarifyLocationTeammate,confirmClearRoom,inflection,inflection,nil,nil
177,638,31,11,10,610,275,273,clarifySomething,collaborateClearRoom,collaborate,clearRoom,announceCriticalWake,clarifyClearRoom,confirmClearRoom,then,thenClear,got,clear
178,638,32,11,11,660,257,255,collaborateVictim,collaborateCarryStabilized,collaborate,carryStabilized,stabilizeVictim,requestCarryStabilized,confirmCarryStabilized,want,wantGrab,want,grab
179,638,33,11,11,660,241,240,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,confirmCarryStabilized,clarifyStabilizedStatus,confirmStabilizedStatus,what,whatType,nil,is
180,638,34,12,12,720,206,203,askInformation,collaborateClearLocation,collaborate,clearLocation,confirmClearLocation,askClearRoom,answerClearLocation,did,didWe,did,check
181,638,35,12,12,720,179,179,clarifySomething,prioritizeCriticalVictim,prioritize,criticalVictim,prioritizeCriticalVictim,clarifyCriticalRoom,clarifyCriticalRoom,which,whichRoom,nil,nil
182,638,36,13,12,7,119,115,initiateCommitment,prioritizeCriticalVictim,prioritize,criticalVictim,prioritizeCriticalRoom,suggestRoomTeammate,clarifyRoom,if,ifYou,want,wait
183,638,37,14,12,740,109,107,clarifySomething,prioritizeCriticalVictim,prioritize,criticalVictim,prioritizeCriticalRoom,clarifyCriticalRoom,confirmCriticalRoom,what,whatRoom,did,say
184,638,38,14,13,790,90,87,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,noticeLocationStabilized,clarifyStabilizedStatus,noAnnotatedEffect,what,whatIs,nil,is
185,638,39,14,13,790,81,79,askInformation,clarifyStabilizedStatus,clarify,stabilizedStatus,clarifyStabilizedStatus,askLocationTeammate,locateIdstabilizedMedic,where,whereAre,nil,are
186,638,40,14,13,790,59,58,clarifySomething,collaborateCarryStabilized,collaborate,carryStabilized,locateIdstabilizedMedic,clarifyStabilizedStatus,carryStabilized,inflection,inflection,nil,nil
187,638,41,16,13,810,50,48,askInformation,collaborateClearLocation,collaborate,clearLocation,prioritizeClearLocation,askClearLocation,answerClearLocation,have,haveWe,do,check
188,638,42,16,14,860,38,36,initiateCommitment,collaborateCarryStabilized,collaborate,carryStabilized,stabilizedVictim,requestCarryStabilized,carryStabilized,do,doYou,do,want
189,638,43,17,14,870,28,26,askInformation,collaborateCriticalPriority,collaborate,criticalPriority,prioritizeCriticalVictim,askCriticalInformation,suggestKnowledgeUnique,do,doWe,do,have
190,638,44,18,14,880,19,16,askInformation,collaborateCriticalPriority,collaborate,criticalPriority,suggestKnowledgeUnique,askCriticalInformation,answerCriticalLocation,are,areThere,nil,are
